Number Index,Name Index,Cluster,Crop,District,Taluka,Gram Panchayat,Notification Level,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,4-Su.Bajra-Ahmedabad-DASKROI-,4,Su.Bajra,Ahmedabad,DASKROI,,Taluka,470,470,470,470,470,470,470,470,470,470
2,5-Su.Bajra-Anand-ANKLAV-,5,Su.Bajra,Anand,ANKLAV,,Taluka,"3,145","3,145","3,145","3,145","3,145","3,145","3,145","3,145","3,145","3,145"
3,6-Su.Bajra-Aravalli-BAYAD-,6,Su.Bajra,Aravalli,BAYAD,,Taluka,"1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560"
4,6-Su.Bajra-Aravalli-MALPUR-,6,Su.Bajra,Aravalli,MALPUR,,Taluka,410,410,410,410,410,410,410,410,410,410
5,5-Su.Bajra-Banaskantha-AMIRGADH-,5,Su.Bajra,Banaskantha,AMIRGADH,,Taluka,"1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510"
6,5-Su.Bajra-Banaskantha-DANTA-,5,Su.Bajra,Banaskantha,DANTA,,Taluka,"2,414","2,414","2,414","2,414","2,414","2,414","2,414","2,414","2,414","2,414"
7,5-Su.Bajra-Banaskantha-VADGAM-,5,Su.Bajra,Banaskantha,VADGAM,,Taluka,"3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530"
8,5-Su.Bajra-Banaskantha-VAV-,5,Su.Bajra,Banaskantha,VAV,,Taluka,"1,050","1,050","1,050","1,050","1,050","1,050","1,050","1,050","1,050","1,050"
9,3-Su.Bajra-Baroda-PADRA-,3,Su.Bajra,Baroda,PADRA,,Taluka,"1,955","1,955","1,955","1,955","1,955","1,955","1,955","1,955","1,955","1,955"
10,3-Su.Bajra-Baroda-SAVLI-,3,Su.Bajra,Baroda,SAVLI,,Taluka,570,570,570,570,570,570,570,570,570,570
11,3-Su.Bajra-Baroda-VADODARA-,3,Su.Bajra,Baroda,VADODARA,,Taluka,841,841,841,841,841,841,841,841,841,841
12,6-Su.Bajra-Bhavnagar-TALAJA-,6,Su.Bajra,Bhavnagar,TALAJA,,Taluka,"1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321"
13,2-Su.Bajra-Gandhinagar-DAHEGAM-,2,Su.Bajra,Gandhinagar,DAHEGAM,,Taluka,"3,565","3,565","3,565","3,565","3,565","3,565","3,565","3,565","3,565","3,565"
14,2-Su.Bajra-Gandhinagar-GANDHINAGAR-,2,Su.Bajra,Gandhinagar,GANDHINAGAR,,Taluka,"1,257","1,257","1,257","1,257","1,257","1,257","1,257","1,257","1,257","1,257"
15,2-Su.Bajra-Gandhinagar-KALOL-,2,Su.Bajra,Gandhinagar,KALOL,,Taluka,"1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189"
16,2-Su.Bajra-Gandhinagar-MANSA-,2,Su.Bajra,Gandhinagar,MANSA,,Taluka,742,742,742,742,742,742,742,742,742,742
17,3-Su.Bajra-Gir Somanath-KODINAR-,3,Su.Bajra,Gir Somanath,KODINAR,,Taluka,"1,730","1,730","1,730","1,730","1,730","1,730","1,730","1,730","1,730","1,730"
18,3-Su.Bajra-Gir Somanath-UNA-,3,Su.Bajra,Gir Somanath,UNA,,Taluka,261,261,261,261,261,261,261,261,261,261
19,4-Su.Bajra-Junagadh-MANGROL-,4,Su.Bajra,Junagadh,MANGROL,,Taluka,890,890,890,890,890,890,890,890,890,890
20,6-Su.Bajra-Kheda-MAHEMDAVAD-,6,Su.Bajra,Kheda,MAHEMDAVAD,,Taluka,"7,422","7,422","7,422","7,422","7,422","7,422","7,422","7,422","7,422","7,422"
21,6-Su.Bajra-Kheda-NADIYAD-,6,Su.Bajra,Kheda,NADIYAD,,Taluka,"5,470","5,470","5,470","5,470","5,470","5,470","5,470","5,470","5,470","5,470"
22,6-Su.Bajra-Kheda-VASO-,6,Su.Bajra,Kheda,VASO,,Taluka,870,870,870,870,870,870,870,870,870,870
23,4-Su.Bajra-Kutch-MANDVI-,4,Su.Bajra,Kutch,MANDVI,,Taluka,760,760,760,760,760,760,760,760,760,760
24,3-Su.Bajra-Mahisagar-LUNAVADA-,3,Su.Bajra,Mahisagar,LUNAVADA,,Taluka,"1,042","1,042","1,042","1,042","1,042","1,042","1,042","1,042","1,042","1,042"
25,2-Su.Bajra-Mehsana-SATLASANA-,2,Su.Bajra,Mehsana,SATLASANA,,Taluka,"3,320","3,320","3,320","3,320","3,320","3,320","3,320","3,320","3,320","3,320"
26,2-Su.Bajra-Mehsana-VIJAPUR-,2,Su.Bajra,Mehsana,VIJAPUR,,Taluka,569,569,569,569,569,569,569,569,569,569
27,2-Su.Bajra-Panchamahal-KALOL-,2,Su.Bajra,Panchamahal,KALOL,,Taluka,140,140,140,140,140,140,140,140,140,140
28,5-Su.Bajra-Patan-PATAN-,5,Su.Bajra,Patan,PATAN,,Taluka,810,810,810,810,810,810,810,810,810,810
29,4-Su.Bajra-Sabarkanta-IDAR-,4,Su.Bajra,Sabarkanta,IDAR,,Taluka,93,93,93,93,93,93,93,93,93,93
30,4-Su.Bajra-Sabarkanta-PRANTIJ-,4,Su.Bajra,Sabarkanta,PRANTIJ,,Taluka,"1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189"
31,4-Su.Bajra-Sabarkanta-TALOD-,4,Su.Bajra,Sabarkanta,TALOD,,Taluka,"1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024"
32,2-Su.Bajra-Mehsana-MEHSANA-ALODA,2,Su.Bajra,Mehsana,MEHSANA,ALODA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
33,2-Su.Bajra-Mehsana-MEHSANA-AMBASAN,2,Su.Bajra,Mehsana,MEHSANA,AMBASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
34,2-Su.Bajra-Mehsana-MEHSANA-AKHAJ,2,Su.Bajra,Mehsana,MEHSANA,AKHAJ,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
35,2-Su.Bajra-Mehsana-MEHSANA-AMBALIYASAN,2,Su.Bajra,Mehsana,MEHSANA,AMBALIYASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
36,2-Su.Bajra-Mehsana-MEHSANA-IJPURA(BAROT),2,Su.Bajra,Mehsana,MEHSANA,IJPURA(BAROT),GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
37,2-Su.Bajra-Mehsana-MEHSANA-UCHARPI,2,Su.Bajra,Mehsana,MEHSANA,UCHARPI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
38,2-Su.Bajra-Mehsana-MEHSANA-KADVASAN,2,Su.Bajra,Mehsana,MEHSANA,KADVASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
39,2-Su.Bajra-Mehsana-MEHSANA-KARSANPURA,2,Su.Bajra,Mehsana,MEHSANA,KARSANPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
40,2-Su.Bajra-Mehsana-MEHSANA-KUKAS,2,Su.Bajra,Mehsana,MEHSANA,KUKAS,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
41,2-Su.Bajra-Mehsana-MEHSANA-KOCHAVA,2,Su.Bajra,Mehsana,MEHSANA,KOCHAVA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
42,2-Su.Bajra-Mehsana-MEHSANA-KHARSADA,2,Su.Bajra,Mehsana,MEHSANA,KHARSADA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
43,2-Su.Bajra-Mehsana-MEHSANA-KHARA,2,Su.Bajra,Mehsana,MEHSANA,KHARA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
44,2-Su.Bajra-Mehsana-MEHSANA-KHERAVA,2,Su.Bajra,Mehsana,MEHSANA,KHERAVA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
45,2-Su.Bajra-Mehsana-MEHSANA-GADHA,2,Su.Bajra,Mehsana,MEHSANA,GADHA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
46,2-Su.Bajra-Mehsana-MEHSANA-GAMANPURA,2,Su.Bajra,Mehsana,MEHSANA,GAMANPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
47,2-Su.Bajra-Mehsana-MEHSANA-GILOSAN,2,Su.Bajra,Mehsana,MEHSANA,GILOSAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
48,2-Su.Bajra-Mehsana-MEHSANA-GERATPUR,2,Su.Bajra,Mehsana,MEHSANA,GERATPUR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
49,2-Su.Bajra-Mehsana-MEHSANA-GOJARIYA,2,Su.Bajra,Mehsana,MEHSANA,GOJARIYA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
50,2-Su.Bajra-Mehsana-MEHSANA-GORAD,2,Su.Bajra,Mehsana,MEHSANA,GORAD,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
51,2-Su.Bajra-Mehsana-MEHSANA-DHADHUSAN,2,Su.Bajra,Mehsana,MEHSANA,DHADHUSAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
52,2-Su.Bajra-Mehsana-MEHSANA-DHOLASAN,2,Su.Bajra,Mehsana,MEHSANA,DHOLASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
53,2-Su.Bajra-Mehsana-MEHSANA-CHARADU,2,Su.Bajra,Mehsana,MEHSANA,CHARADU,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
54,2-Su.Bajra-Mehsana-MEHSANA-CHALUVA,2,Su.Bajra,Mehsana,MEHSANA,CHALUVA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
55,2-Su.Bajra-Mehsana-MEHSANA-CHITRODIPURA,2,Su.Bajra,Mehsana,MEHSANA,CHITRODIPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
56,2-Su.Bajra-Mehsana-MEHSANA-CHHATHIYARADA,2,Su.Bajra,Mehsana,MEHSANA,CHHATHIYARADA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
57,2-Su.Bajra-Mehsana-MEHSANA-JAGUDAN,2,Su.Bajra,Mehsana,MEHSANA,JAGUDAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
58,2-Su.Bajra-Mehsana-MEHSANA-JAMANAPUR,2,Su.Bajra,Mehsana,MEHSANA,JAMANAPUR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
59,2-Su.Bajra-Mehsana-MEHSANA-JUNI SEDHAVI,2,Su.Bajra,Mehsana,MEHSANA,JUNI SEDHAVI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
60,2-Su.Bajra-Mehsana-MEHSANA-JETALPUR,2,Su.Bajra,Mehsana,MEHSANA,JETALPUR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
61,2-Su.Bajra-Mehsana-MEHSANA-JORNANG,2,Su.Bajra,Mehsana,MEHSANA,JORNANG,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
62,2-Su.Bajra-Mehsana-MEHSANA-TUNDALI,2,Su.Bajra,Mehsana,MEHSANA,TUNDALI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
63,2-Su.Bajra-Mehsana-MEHSANA-TALETI,2,Su.Bajra,Mehsana,MEHSANA,TALETI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
64,2-Su.Bajra-Mehsana-MEHSANA-TAVDIYA,2,Su.Bajra,Mehsana,MEHSANA,TAVDIYA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
65,2-Su.Bajra-Mehsana-MEHSANA-DAVADA,2,Su.Bajra,Mehsana,MEHSANA,DAVADA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
66,2-Su.Bajra-Mehsana-MEHSANA-DITASAN,2,Su.Bajra,Mehsana,MEHSANA,DITASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
67,2-Su.Bajra-Mehsana-MEHSANA-DIVANPURA,2,Su.Bajra,Mehsana,MEHSANA,DIVANPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
68,2-Su.Bajra-Mehsana-MEHSANA-DEDIYASAN,2,Su.Bajra,Mehsana,MEHSANA,DEDIYASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
69,2-Su.Bajra-Mehsana-MEHSANA-DELA,2,Su.Bajra,Mehsana,MEHSANA,DELA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
70,2-Su.Bajra-Mehsana-MEHSANA-DELOLI,2,Su.Bajra,Mehsana,MEHSANA,DELOLI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
71,2-Su.Bajra-Mehsana-MEHSANA-DEVRASAN,2,Su.Bajra,Mehsana,MEHSANA,DEVRASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
72,2-Su.Bajra-Mehsana-MEHSANA-DEVINAPURA,2,Su.Bajra,Mehsana,MEHSANA,DEVINAPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
73,2-Su.Bajra-Mehsana-MEHSANA-NADASA,2,Su.Bajra,Mehsana,MEHSANA,NADASA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
74,2-Su.Bajra-Mehsana-MEHSANA-NAVI SHEDHAVI,2,Su.Bajra,Mehsana,MEHSANA,NAVI SHEDHAVI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
75,2-Su.Bajra-Mehsana-MEHSANA-NANI DAU,2,Su.Bajra,Mehsana,MEHSANA,NANI DAU,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
76,2-Su.Bajra-Mehsana-MEHSANA-NUGAR,2,Su.Bajra,Mehsana,MEHSANA,NUGAR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
77,2-Su.Bajra-Mehsana-MEHSANA-PATHARIYA,2,Su.Bajra,Mehsana,MEHSANA,PATHARIYA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
78,2-Su.Bajra-Mehsana-MEHSANA-PALAJ,2,Su.Bajra,Mehsana,MEHSANA,PALAJ,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
79,2-Su.Bajra-Mehsana-MEHSANA-PALAVASANA,2,Su.Bajra,Mehsana,MEHSANA,PALAVASANA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
80,2-Su.Bajra-Mehsana-MEHSANA-PALODAR,2,Su.Bajra,Mehsana,MEHSANA,PALODAR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
81,2-Su.Bajra-Mehsana-MEHSANA-PANCHOT,2,Su.Bajra,Mehsana,MEHSANA,PANCHOT,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
82,2-Su.Bajra-Mehsana-MEHSANA-PILUDARA,2,Su.Bajra,Mehsana,MEHSANA,PILUDARA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
83,2-Su.Bajra-Mehsana-MEHSANA-PUNASAN,2,Su.Bajra,Mehsana,MEHSANA,PUNASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
84,2-Su.Bajra-Mehsana-MEHSANA-BALOL,2,Su.Bajra,Mehsana,MEHSANA,BALOL,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
85,2-Su.Bajra-Mehsana-MEHSANA-BALVANTPURA,2,Su.Bajra,Mehsana,MEHSANA,BALVANTPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
86,2-Su.Bajra-Mehsana-MEHSANA-BAMOSANA,2,Su.Bajra,Mehsana,MEHSANA,BAMOSANA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
87,2-Su.Bajra-Mehsana-MEHSANA-BALIYASAN,2,Su.Bajra,Mehsana,MEHSANA,BALIYASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
88,2-Su.Bajra-Mehsana-MEHSANA-BUTAPALDI,2,Su.Bajra,Mehsana,MEHSANA,BUTAPALDI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
89,2-Su.Bajra-Mehsana-MEHSANA-BODLA,2,Su.Bajra,Mehsana,MEHSANA,BODLA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
90,2-Su.Bajra-Mehsana-MEHSANA-BORIYAVI,2,Su.Bajra,Mehsana,MEHSANA,BORIYAVI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
91,2-Su.Bajra-Mehsana-MEHSANA-BHAKADIYA,2,Su.Bajra,Mehsana,MEHSANA,BHAKADIYA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
92,2-Su.Bajra-Mehsana-MEHSANA-BHASARIYA,2,Su.Bajra,Mehsana,MEHSANA,BHASARIYA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
93,2-Su.Bajra-Mehsana-MEHSANA-BHESANA,2,Su.Bajra,Mehsana,MEHSANA,BHESANA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
94,2-Su.Bajra-Mehsana-MEHSANA-MAGUNA,2,Su.Bajra,Mehsana,MEHSANA,MAGUNA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
95,2-Su.Bajra-Mehsana-MEHSANA-MAREDA,2,Su.Bajra,Mehsana,MEHSANA,MAREDA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
96,2-Su.Bajra-Mehsana-MEHSANA-MAHESANA/NAGALPUR,2,Su.Bajra,Mehsana,MEHSANA,MAHESANA/NAGALPUR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
97,2-Su.Bajra-Mehsana-MEHSANA-MANDALI,2,Su.Bajra,Mehsana,MEHSANA,MANDALI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
98,2-Su.Bajra-Mehsana-MEHSANA-MITHA,2,Su.Bajra,Mehsana,MEHSANA,MITHA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
99,2-Su.Bajra-Mehsana-MEHSANA-MULSAN,2,Su.Bajra,Mehsana,MEHSANA,MULSAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
100,2-Su.Bajra-Mehsana-MEHSANA-MEU,2,Su.Bajra,Mehsana,MEHSANA,MEU,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
101,2-Su.Bajra-Mehsana-MEHSANA-MEGHA ALIYASANA,2,Su.Bajra,Mehsana,MEHSANA,MEGHA ALIYASANA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
102,2-Su.Bajra-Mehsana-MEHSANA-MEVAD,2,Su.Bajra,Mehsana,MEHSANA,MEVAD,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
103,2-Su.Bajra-Mehsana-MEHSANA-MOTIDAU,2,Su.Bajra,Mehsana,MEHSANA,MOTIDAU,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
104,2-Su.Bajra-Mehsana-MEHSANA-RAMPURA(KUKAS),2,Su.Bajra,Mehsana,MEHSANA,RAMPURA(KUKAS),GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
105,2-Su.Bajra-Mehsana-MEHSANA-RAMOSANA,2,Su.Bajra,Mehsana,MEHSANA,RAMOSANA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
106,2-Su.Bajra-Mehsana-MEHSANA-RUPAL(HARIPURA),2,Su.Bajra,Mehsana,MEHSANA,RUPAL(HARIPURA),GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
107,2-Su.Bajra-Mehsana-MEHSANA-LAXMIPURA,2,Su.Bajra,Mehsana,MEHSANA,LAXMIPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
108,2-Su.Bajra-Mehsana-MEHSANA-LAKHAVAD,2,Su.Bajra,Mehsana,MEHSANA,LAKHAVAD,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
109,2-Su.Bajra-Mehsana-MEHSANA-LANGHANAJ,2,Su.Bajra,Mehsana,MEHSANA,LANGHANAJ,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
110,2-Su.Bajra-Mehsana-MEHSANA-LINCH,2,Su.Bajra,Mehsana,MEHSANA,LINCH,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
111,2-Su.Bajra-Mehsana-MEHSANA-VADASHMA,2,Su.Bajra,Mehsana,MEHSANA,VADASHMA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
112,2-Su.Bajra-Mehsana-MEHSANA-VADOSAN,2,Su.Bajra,Mehsana,MEHSANA,VADOSAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
113,2-Su.Bajra-Mehsana-MEHSANA-VIRTA,2,Su.Bajra,Mehsana,MEHSANA,VIRTA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
114,2-Su.Bajra-Mehsana-MEHSANA-SUKHPURDA,2,Su.Bajra,Mehsana,MEHSANA,SUKHPURDA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
115,2-Su.Bajra-Mehsana-MEHSANA-SAMETRA,2,Su.Bajra,Mehsana,MEHSANA,SAMETRA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
116,2-Su.Bajra-Mehsana-MEHSANA-SALADI,2,Su.Bajra,Mehsana,MEHSANA,SALADI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
117,2-Su.Bajra-Mehsana-MEHSANA-SAGANPUR,2,Su.Bajra,Mehsana,MEHSANA,SAGANPUR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
118,2-Su.Bajra-Mehsana-MEHSANA-SHOBHASAN,2,Su.Bajra,Mehsana,MEHSANA,SHOBHASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
119,2-Su.Bajra-Mehsana-MEHSANA-HARDESAN,2,Su.Bajra,Mehsana,MEHSANA,HARDESAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
120,2-Su.Bajra-Mehsana-MEHSANA-HARIPURA,2,Su.Bajra,Mehsana,MEHSANA,HARIPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
121,2-Su.Bajra-Mehsana-MEHSANA-HADVI,2,Su.Bajra,Mehsana,MEHSANA,HADVI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
122,2-Su.Bajra-Mehsana-MEHSANA-HINGLAJPURA,2,Su.Bajra,Mehsana,MEHSANA,HINGLAJPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
123,2-Su.Bajra-Mehsana-MEHSANA-HEDUVA(RAJGAR),2,Su.Bajra,Mehsana,MEHSANA,HEDUVA(RAJGAR),GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
124,2-Su.Bajra-Mehsana-MEHSANA-HEDUVA (HANUMANT),2,Su.Bajra,Mehsana,MEHSANA,HEDUVA (HANUMANT),GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
125,2-Su.Bajra-Mehsana-MEHSANA-HEBUVA,2,Su.Bajra,Mehsana,MEHSANA,HEBUVA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
126,2-Su.Bajra-Mehsana-VISNAGAR-EYASARA,2,Su.Bajra,Mehsana,VISNAGAR,EYASARA,GP,340,340,340,340,340,340,340,340,340,340
127,2-Su.Bajra-Mehsana-VISNAGAR-UDALPUR,2,Su.Bajra,Mehsana,VISNAGAR,UDALPUR,GP,340,340,340,340,340,340,340,340,340,340
128,2-Su.Bajra-Mehsana-VISNAGAR-UMTA,2,Su.Bajra,Mehsana,VISNAGAR,UMTA,GP,340,340,340,340,340,340,340,340,340,340
129,2-Su.Bajra-Mehsana-VISNAGAR-KADA,2,Su.Bajra,Mehsana,VISNAGAR,KADA,GP,340,340,340,340,340,340,340,340,340,340
130,2-Su.Bajra-Mehsana-VISNAGAR-KAMANA,2,Su.Bajra,Mehsana,VISNAGAR,KAMANA,GP,340,340,340,340,340,340,340,340,340,340
131,2-Su.Bajra-Mehsana-VISNAGAR-KANSARAKUI,2,Su.Bajra,Mehsana,VISNAGAR,KANSARAKUI,GP,340,340,340,340,340,340,340,340,340,340
132,2-Su.Bajra-Mehsana-VISNAGAR-KAJIALIYASANA,2,Su.Bajra,Mehsana,VISNAGAR,KAJIALIYASANA,GP,340,340,340,340,340,340,340,340,340,340
133,2-Su.Bajra-Mehsana-VISNAGAR-KAMALPPUR(KH),2,Su.Bajra,Mehsana,VISNAGAR,KAMALPPUR(KH),GP,340,340,340,340,340,340,340,340,340,340
134,2-Su.Bajra-Mehsana-VISNAGAR-KAMALPUR(GO),2,Su.Bajra,Mehsana,VISNAGAR,KAMALPUR(GO),GP,340,340,340,340,340,340,340,340,340,340
135,2-Su.Bajra-Mehsana-VISNAGAR-KANSA,2,Su.Bajra,Mehsana,VISNAGAR,KANSA,GP,340,340,340,340,340,340,340,340,340,340
136,2-Su.Bajra-Mehsana-VISNAGAR-KIYADAR,2,Su.Bajra,Mehsana,VISNAGAR,KIYADAR,GP,340,340,340,340,340,340,340,340,340,340
